producto,pais,categoria,vendedor,precio,cantidad,total,año,mes,dia
P-001,China,Limpieza,Adaline Cox,$23.67,122,$2887.74,2023,mayo,13
P-001,China,Limpieza,Adaline Cox,$23.67,132,$3124.44,2023,marzo,21
P-001,China,Limpieza,Dayton Dinsmor,$23.67,110,$2603.70,2023,enero,8
P-001,China,Limpieza,Dylan Ogilvie,$23.67,2,$47.34,2023,junio,3
P-001,China,Limpieza,Dylan Ogilvie,$23.67,68,$1609.56,2023,junio,24
P-001,China,Limpieza,Dylan Ogilvie,$23.67,150,$3550.50,2023,febrero,16
P-001,China,Limpieza,Jarrod Ives,$23.67,37,$875.79,2023,junio,10
P-001,China,Limpieza,Oswaldo Lancaster,$23.67,60,$1420.20,2023,abril,8
P-001,China,Limpieza,Oswaldo Lancaster,$23.67,103,$2438.01,2023,enero,2
P-001,China,Limpieza,Oswaldo Lancaster,$23.67,110,$2603.70,2023,junio,12
P-001,China,Limpieza,Skyla Broomfield,$23.67,92,$2177.64,2023,mayo,6
P-001,China,Limpieza,Tess Askew,$23.67,70,$1656.90,2023,enero,8
P-001,China,Limpieza,Tess Askew,$23.67,106,$2509.02,2023,junio,26
P-001,China,Limpieza,Tess Askew,$23.67,147,$3479.49,2023,junio,16
P-001,China,Limpieza,Trystan Clough,$23.67,140,$3313.80,2023,enero,22
P-001,Japón,Limpieza,Adaline Cox,$23.67,103,$2438.01,2023,enero,27
P-001,Japón,Limpieza,Adaline Cox,$23.67,125,$2958.75,2023,enero,26
P-001,Japón,Limpieza,Adaline Cox,$23.67,127,$3006.09,2023,marzo,19
P-001,Japón,Limpieza,Adaline Cox,$23.67,149,$3526.83,2023,mayo,24
P-001,Japón,Limpieza,Dylan Ogilvie,$23.67,16,$378.72,2023,mayo,17
P-001,Japón,Limpieza,Jarrod Ives,$23.67,122,$2887.74,2023,abril,9
P-001,Japón,Limpieza,Jarrod Ives,$23.67,134,$3171.78,2023,abril,21
P-001,Japón,Limpieza,Oliver Lundberg,$23.67,83,$1964.61,2023,mayo,20
P-001,Japón,Limpieza,Oliver Lundberg,$23.67,84,$1988.28,2023,mayo,7
P-001,Japón,Limpieza,Skyla Broomfield,$23.67,90,$2130.30,2023,enero,19
P-001,Japón,Limpieza,Skyla Pickering,$23.67,48,$1136.16,2023,enero,23
P-001,Japón,Limpieza,Skyla Pickering,$23.67,48,$1136.16,2023,marzo,17
P-001,Japón,Limpieza,Skyla Pickering,$23.67,139,$3290.13,2023,mayo,23
P-001,Japón,Limpieza,Tess Askew,$23.67,22,$520.74,2023,abril,1
P-001,Japón,Limpieza,Tess Askew,$23.67,27,$639.09,2023,mayo,29
P-001,Japón,Limpieza,Tess Askew,$23.67,31,$733.77,2023,enero,24
P-001,Japón,Limpieza,Tess Askew,$23.67,124,$2935.08,2023,enero,29
P-001,Japón,Limpieza,Trystan Clough,$23.67,2,$47.34,2023,abril,20
P-001,Japón,Limpieza,Trystan Clough,$23.67,69,$1633.23,2023,abril,17
P-001,Japón,Limpieza,Trystan Clough,$23.67,101,$2390.67,2023,mayo,3
P-001,Perú,Limpieza,Adaline Cox,$23.67,14,$331.38,2023,marzo,11
P-001,Perú,Limpieza,Adaline Cox,$23.67,80,$1893.60,2023,junio,3
P-001,Perú,Limpieza,Adaline Cox,$23.67,81,$1917.27,2023,mayo,18
P-001,Perú,Limpieza,Adaline Cox,$23.67,93,$2201.31,2023,mayo,19
P-001,Perú,Limpieza,Dayton Dinsmor,$23.67,3,$71.01,2023,marzo,20
P-001,Perú,Limpieza,Dayton Dinsmor,$23.67,125,$2958.75,2023,febrero,5
P-001,Perú,Limpieza,Jarrod Ives,$23.67,39,$923.13,2023,febrero,8
P-001,Perú,Limpieza,Jarrod Ives,$23.67,66,$1562.22,2023,mayo,30
P-001,Perú,Limpieza,Oliver Lundberg,$23.67,105,$2485.35,2023,enero,16
P-001,Perú,Limpieza,Oliver Lundberg,$23.67,115,$2722.05,2023,mayo,3
P-001,Perú,Limpieza,Skyla Broomfield,$23.67,15,$355.05,2023,marzo,26
P-001,Perú,Limpieza,Skyla Broomfield,$23.67,38,$899.46,2023,abril,4
P-001,Perú,Limpieza,Skyla Pickering,$23.67,2,$47.34,2023,abril,4
P-001,Perú,Limpieza,Tess Askew,$23.67,2,$47.34,2023,marzo,28
P-001,Perú,Limpieza,Tess Askew,$23.67,36,$852.12,2023,febrero,24
P-001,Perú,Limpieza,Tess Askew,$23.67,87,$2059.29,2023,abril,2
P-001,Perú,Limpieza,Trystan Clough,$23.67,77,$1822.59,2023,enero,12
P-001,USA,Limpieza,Dayton Dinsmor,$23.67,36,$852.12,2023,febrero,20
P-001,USA,Limpieza,Dylan Ogilvie,$23.67,70,$1656.90,2023,abril,3
P-001,USA,Limpieza,Dylan Ogilvie,$23.67,97,$2295.99,2023,mayo,29
P-001,USA,Limpieza,Jarrod Ives,$23.67,105,$2485.35,2023,mayo,2
P-001,USA,Limpieza,Oliver Lundberg,$23.67,82,$1940.94,2023,junio,25
P-001,USA,Limpieza,Oswaldo Lancaster,$23.67,5,$118.35,2023,marzo,1
P-001,USA,Limpieza,Oswaldo Lancaster,$23.67,91,$2153.97,2023,junio,5
P-001,USA,Limpieza,Oswaldo Lancaster,$23.67,122,$2887.74,2023,enero,12
P-001,USA,Limpieza,Skyla Broomfield,$23.67,138,$3266.46,2023,enero,31
P-001,USA,Limpieza,Skyla Pickering,$23.67,88,$2082.96,2023,junio,23
P-001,USA,Limpieza,Skyla Pickering,$23.67,106,$2509.02,2023,mayo,30
P-001,USA,Limpieza,Skyla Pickering,$23.67,137,$3242.79,2023,abril,26
P-001,USA,Limpieza,Tess Askew,$23.67,87,$2059.29,2023,abril,28
P-001,USA,Limpieza,Tess Askew,$23.67,129,$3053.43,2023,febrero,4
P-002,China,Comestibles,Adaline Cox,$68.73,52,$3573.96,2023,junio,7
P-002,China,Comestibles,Dayton Dinsmor,$68.73,14,$962.22,2023,mayo,23
P-002,China,Comestibles,Dylan Ogilvie,$68.73,45,$3092.85,2023,enero,29
P-002,China,Comestibles,Dylan Ogilvie,$68.73,95,$6529.35,2023,enero,9
P-002,China,Comestibles,Oswaldo Lancaster,$68.73,52,$3573.96,2023,febrero,3
P-002,China,Comestibles,Oswaldo Lancaster,$68.73,148,$10172.04,2023,febrero,6
P-002,China,Comestibles,Skyla Broomfield,$68.73,117,$8041.41,2023,febrero,5
P-002,China,Comestibles,Skyla Pickering,$68.73,118,$8110.14,2023,mayo,23
P-002,China,Comestibles,Tess Askew,$68.73,9,$618.57,2023,abril,24
P-002,China,Comestibles,Tess Askew,$68.73,35,$2405.55,2023,abril,4
P-002,China,Comestibles,Trystan Clough,$68.73,79,$5429.67,2023,mayo,28
P-002,Japón,Comestibles,Adaline Cox,$68.73,50,$3436.50,2023,enero,7
P-002,Japón,Comestibles,Adaline Cox,$68.73,50,$3436.50,2023,abril,10
P-002,Japón,Comestibles,Adaline Cox,$68.73,91,$6254.43,2023,marzo,16
P-002,Japón,Comestibles,Adaline Cox,$68.73,114,$7835.22,2023,abril,30
P-002,Japón,Comestibles,Dayton Dinsmor,$68.73,33,$2268.09,2023,abril,20
P-002,Japón,Comestibles,Dylan Ogilvie,$68.73,39,$2680.47,2023,enero,14
P-002,Japón,Comestibles,Dylan Ogilvie,$68.73,66,$4536.18,2023,mayo,10
P-002,Japón,Comestibles,Jarrod Ives,$68.73,27,$1855.71,2023,mayo,22
P-002,Japón,Comestibles,Jarrod Ives,$68.73,119,$8178.87,2023,febrero,14
P-002,Japón,Comestibles,Jarrod Ives,$68.73,130,$8934.90,2023,marzo,19
P-002,Japón,Comestibles,Oliver Lundberg,$68.73,107,$7354.11,2023,abril,4
P-002,Japón,Comestibles,Oswaldo Lancaster,$68.73,65,$4467.45,2023,febrero,23
P-002,Japón,Comestibles,Skyla Pickering,$68.73,5,$343.65,2023,abril,29
